X,org,req,grant,schoolyr,deny,prop_grant,bipoc,community
69,Define American,2026,1173,2019-2020,853,0.578973346495558,Y,Non-BIPOC
70,Duke Student Government,2411,1116,2019-2020,1295,0.462878473662381,N,Non-BIPOC
71,Duke CommuniTEA,2001,1030,2019-2020,971,0.514742628685657,Y,Asian
72,Duke Gymnastics,49250,1000,2019-2020,48250,0.0203045685279188,N,Non-BIPOC
73,Duke Gaming,7255,1000,2019-2020,6255,0.137835975189524,N,Non-BIPOC
74,Duke Symphony Orchestra,7250,1000,2019-2020,6250,0.137931034482759,N,Non-BIPOC
75,Rotaract Club of Duke University,12000,1000,2019-2020,11000,0.0833333333333333,N,Non-BIPOC
76,Duke Student Government,1500,1000,2019-2020,500,0.666666666666667,N,Non-BIPOC
77,Duke Southeast Asian Students Association,2794,1000,2019-2020,1794,0.357909806728704,Y,Asian
78,Duke Sports Management Club,3125,1000,2019-2020,2125,0.32,N,Non-BIPOC
79,Duke Crux,6500,1000,2019-2020,5500,0.153846153846154,N,Non-BIPOC
80,Duke MMA,4180,1000,2019-2020,3180,0.239234449760766,N,Non-BIPOC
81,Duke ASL,10080,1000,2019-2020,9080,0.0992063492063492,N,Non-BIPOC
82,Hindu Students Association,1555,955,2019-2020,600,0.614147909967846,Y,Asian
83,Progress. Period.,1170,930,2019-2020,240,0.794871794871795,N,Non-BIPOC
84,Duke Association for Business Oriented Women,1700,900,2019-2020,800,0.529411764705882,N,Non-BIPOC
85,Community Empowerment Fund,1230,860,2019-2020,370,0.699186991869919,N,Non-BIPOC
86,FIRST at Duke,998,835,2019-2020,163,0.836673346693387,N,Non-BIPOC
87,Duke Consulting Club,1470,820,2019-2020,650,0.557823129251701,N,Non-BIPOC
88,Duke Conservation Tech,1400,800,2019-2020,600,0.571428571428571,N,Non-BIPOC
89,Duke Student Government,1733,798,2019-2020,935,0.460473167916907,N,Non-BIPOC
90,Ensemble Hippocrates,1371,775,2019-2020,596,0.565280816921955,N,Non-BIPOC
91,The Bridge,1755,770,2019-2020,985,0.438746438746439,Y,Multicultural group
92,Pureun,1000,725,2019-2020,275,0.725,Y,Asian
93,Duke Student Government,1500,700,2019-2020,800,0.466666666666667,N,Non-BIPOC
