dateOfSenateMeeting,orgName,totalRequested,totalGranted,,,,,,,,,,,,,,,,,,,,,,,
03/06/2019,Program II Majors' Union,"$5,400",$0,,,,,,,,,,,,,,,,,,,,,,,
03/06/2019,Program II Majors' Union,"$5,400","$5,200",,,,,,,,,,,,,,,,,,,,,,,
03/06/2019,Duke Diya,"$2,900","$2,900",,,,,,,,,,,,,,,,,,,,,,,
03/06/2019,Blue Devils United ,"$8,800","$3,300",,,,,,,,,,,,,,,,,,,,,,,
03/06/2019,Asian Students Association,"$3,550","$3,300",,,,,,,,,,,,,,,,,,,,,,,
03/20/2019,Asian American Alliance ,"$5,000","$5,000",,,,,,,,,,,,,,,,,,,,,,,
03/20/2019,Blue Devils United ,"$9,300","$9,300",,,,,,,,,,,,,,,,,,,,,,,
03/20/2019,Duke Chinese Theater,"$10,797.50","$6,172.50",,,,,,,,,,,,,,,,,,,,,,,
03/20/2019,On Tap,"$2,220.81","$2,020.81",,,,,,,,,,,,,,,,,,,,,,,
03/27/2019,duARTS,"$1,000",$0,,,,,,,,,,,,,,,,,,,,,,,
03/27/2019,Duke Student Government,"$3,350",$0,,,,,,,,,,,,,,,,,,,,,,,
03/27/2019,Momentum Dance Company ,"$3,037.63","$2,837.63",,,,,,,,,,,,,,,,,,,,,,,
03/27/2019,Street Medicine ,"$4,366.63","$4,316.63",,,,,,,,,,,,,,,,,,,,,,,
03/27/2019,Natuve American Student Organization,"$2,900","$1,875.00",,,,,,,,,,,,,,,,,,,,,,,
04/03/2019,HackDuke,"$2,260.00","$1,630",,,,,,,,,,,,,,,,,,,,,,,
04/03/2019,DUSDAC,"$8,201","$1,801",,,,,,,,,,,,,,,,,,,,,,,
04/10/2019,Muslim Students' Association ,"$4,000","$4,000",,,,,,,,,,,,,,,,,,,,,,,
04/10/2019,Duke University Student Dining Advisory Committee,"$8,201","$2,601",,,,,,,,,,,,,,,,,,,,,,,
04/17/2019,Duke University Improv,"$1,597.06","$1,597.06",,,,,,,,,,,,,,,,,,,,,,,
